componente_curricular,codigo_componente,codigo_turma,campus_turma,local,ano,periodo,data_inicio,data_fim,docentes,descricao_horario,total_solicitacoes,capacidade_aluno,matriculados,tipo,data_consolidacao,situacao_turma,modalidade_educacao
"BIOGEOGRAFIA","GEO0058","TURMA 4","NÃO INFORMADO","Estância/SE","2023","2","02/10/2023","28/02/2024","NEISE MARE DE SOUZA ALVES","7M45","1",,"1","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"BIOGEOGRAFIA","GEO0058","TURMA 12","NÃO INFORMADO","Lagarto/SE","2023","2","02/10/2023","28/02/2024","NEISE MARE DE SOUZA ALVES","7M45","23",,"23","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"BIOGEOGRAFIA","GEO0058","TURMA 11","NÃO INFORMADO","Nossa Senhora das Dores/SE","2023","2","02/10/2023","28/02/2024","NEISE MARE DE SOUZA ALVES","7M45","17",,"17","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"BIOGEOGRAFIA","GEO0058","TURMA 8","NÃO INFORMADO","Porto da Folha/SE","2023","2","02/10/2023","28/02/2024","NEISE MARE DE SOUZA ALVES","7M45","13",,"13","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ORGANIZAÇÃO DO ESPAÇO MUNDIAL","GEO0076","TURMA 1","NÃO INFORMADO","Arauá/SE","2023","2","02/10/2023","28/02/2024","PAULO JOSE DE OLIVEIRA","7T12","21",,"21","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ORGANIZAÇÃO DO ESPAÇO MUNDIAL","GEO0076","TURMA 3","NÃO INFORMADO","Brejo Grande/SE","2023","2","02/10/2023","28/02/2024","PAULO JOSE DE OLIVEIRA","7T12","17",,"18","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ORGANIZAÇÃO DO ESPAÇO MUNDIAL","GEO0076","TURMA 4","NÃO INFORMADO","Estância/SE","2023","2","02/10/2023","28/02/2024","PAULO JOSE DE OLIVEIRA","7T12","2",,"2","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ORGANIZAÇÃO DO ESPAÇO MUNDIAL","GEO0076","TURMA 5","NÃO INFORMADO","Japaratuba/SE","2023","2","02/10/2023","28/02/2024","PAULO JOSE DE OLIVEIRA","7T12","3",,"3","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ORGANIZAÇÃO DO ESPAÇO MUNDIAL","GEO0076","TURMA 12","NÃO INFORMADO","Lagarto/SE","2023","2","02/10/2023","28/02/2024","PAULO JOSE DE OLIVEIRA","7T12","24",,"24","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ORGANIZAÇÃO DO ESPAÇO MUNDIAL","GEO0076","TURMA 14","NÃO INFORMADO","Nossa Senhora da Glória/SE","2023","2","02/10/2023","28/02/2024","PAULO JOSE DE OLIVEIRA","7T12","5",,"5","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ORGANIZAÇÃO DO ESPAÇO MUNDIAL","GEO0076","TURMA 11","NÃO INFORMADO","Nossa Senhora das Dores/SE","2023","2","02/10/2023","28/02/2024","PAULO JOSE DE OLIVEIRA","7T12","18",,"18","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ORGANIZAÇÃO DO ESPAÇO MUNDIAL","GEO0076","TURMA 8","NÃO INFORMADO","Porto da Folha/SE","2023","2","02/10/2023","28/02/2024","PAULO JOSE DE OLIVEIRA","7T12","16",,"16","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ORGANIZAÇÃO DO ESPAÇO MUNDIAL","GEO0076","TURMA 9","NÃO INFORMADO","São Domingos/SE","2023","2","02/10/2023","28/02/2024","PAULO JOSE DE OLIVEIRA","7T12","1",,"1","REGULAR","07/02/2024","CONSOLIDADA","A DISTÂNCIA"
"TRABALHO DE CONCLUSÃO DE CURSO I","ADM0196","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","6 - 13:00h-16:50h SALA DE AULA - DID 1 - 108","2023","2","13/11/2023","12/04/2024","CLAUDIO MARCIO CAMPOS DE MENDONCA","6T1234","12","40","14","REGULAR","10/04/2024","CONSOLIDADA","PRESENCIAL"
"TRABALHO DE CONCLUSÃO DE CURSO I","ADM0196","TURMA 02","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","6 - 18:50h-22:20h SALA DE AULA - DID 5 - 012","2023","2","13/11/2023","12/04/2024","CLAUDIO MARCIO CAMPOS DE MENDONCA","6N1234","36","40","40","REGULAR","10/04/2024","CONSOLIDADA","PRESENCIAL"
"SOCIOLOGIA I","SOCIA0025","TURMA 1","NÃO INFORMADO","Arauá/SE","2023","2","02/10/2023","28/02/2024","VILMA SOARES DE LIMA BARBOSA","1M45","26",,"26","REGULAR","01/03/2024","CONSOLIDADA","A DISTÂNCIA"
"SOCIOLOGIA I","SOCIA0025","TURMA 3","NÃO INFORMADO","Brejo Grande/SE","2023","2","02/10/2023","28/02/2024","VILMA SOARES DE LIMA BARBOSA","1M45","20",,"21","REGULAR","01/03/2024","CONSOLIDADA","A DISTÂNCIA"
"SOCIOLOGIA I","SOCIA0025","TURMA 4","NÃO INFORMADO","Estância/SE","2023","2","02/10/2023","28/02/2024","VILMA SOARES DE LIMA BARBOSA","1M45","18",,"17","REGULAR","01/03/2024","CONSOLIDADA","A DISTÂNCIA"
"SOCIOLOGIA I","SOCIA0025","TURMA 5","NÃO INFORMADO","Japaratuba/SE","2023","2","02/10/2023","28/02/2024","VILMA SOARES DE LIMA BARBOSA","1M45","23",,"22","REGULAR","01/03/2024","CONSOLIDADA","A DISTÂNCIA"
"SOCIOLOGIA I","SOCIA0025","TURMA 12","NÃO INFORMADO","Lagarto/SE","2023","2","02/10/2023","28/02/2024","VILMA SOARES DE LIMA BARBOSA","1M45","27",,"28","REGULAR","01/03/2024","CONSOLIDADA","A DISTÂNCIA"
"SOCIOLOGIA I","SOCIA0025","TURMA 14A","NÃO INFORMADO","Nossa Senhora da Glória/SE","2023","2","02/10/2023","28/02/2024","VILMA SOARES DE LIMA BARBOSA","1M45","21",,"21","REGULAR","01/03/2024","CONSOLIDADA","A DISTÂNCIA"
"SOCIOLOGIA I","SOCIA0025","TURMA 11","NÃO INFORMADO","Nossa Senhora das Dores/SE","2023","2","02/10/2023","28/02/2024","VILMA SOARES DE LIMA BARBOSA","1M45","34",,"34","REGULAR","01/03/2024","CONSOLIDADA","A DISTÂNCIA"
"SOCIOLOGIA I","SOCIA0025","TURMA 8","NÃO INFORMADO","Porto da Folha/SE","2023","2","02/10/2023","28/02/2024","VILMA SOARES DE LIMA BARBOSA","1M45","36",,"37","REGULAR","01/03/2024","CONSOLIDADA","A DISTÂNCIA"
"SOCIOLOGIA I","SOCIA0025","TURMA 7","NÃO INFORMADO","Poço Verde/SE","2023","2","02/10/2023","28/02/2024","VILMA SOARES DE LIMA BARBOSA","1M45","4",,"5","REGULAR","01/03/2024","CONSOLIDADA","A DISTÂNCIA"
"SOCIOLOGIA I","SOCIA0025","TURMA 9","NÃO INFORMADO","São Domingos/SE","2023","2","02/10/2023","28/02/2024","VILMA SOARES DE LIMA BARBOSA","1M45","6",,"6","REGULAR","01/03/2024","CONSOLIDADA","A DISTÂNCIA"
"TEMAS DE HISTÓRIA DO BRASIL CONTEMPORÂNEO","HIST0004","TURMA 4","NÃO INFORMADO","Estância/SE","2023","2","02/10/2023","28/02/2024","ANTONIO FERNANDO DE ARAUJO SA","7M23","20",,"18","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"TEMAS DE HISTÓRIA DO BRASIL CONTEMPORÂNEO","HIST0004","TURMA 5","NÃO INFORMADO","Japaratuba/SE","2023","2","02/10/2023","28/02/2024","ANTONIO FERNANDO DE ARAUJO SA","7M23","17",,"17","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"TEMAS DE HISTÓRIA DO BRASIL CONTEMPORÂNEO","HIST0004","TURMA 14","NÃO INFORMADO","Nossa Senhora da Glória/SE","2023","2","02/10/2023","28/02/2024","ANTONIO FERNANDO DE ARAUJO SA","7M23","20",,"20","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"TEMAS DE HISTÓRIA DO BRASIL CONTEMPORÂNEO","HIST0004","TURMA 11","NÃO INFORMADO","Nossa Senhora das Dores/SE","2023","2","02/10/2023","28/02/2024","ANTONIO FERNANDO DE ARAUJO SA","7M23","22",,"22","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"TEMAS DE HISTÓRIA DO BRASIL CONTEMPORÂNEO","HIST0004","TURMA 8","NÃO INFORMADO","Porto da Folha/SE","2023","2","02/10/2023","28/02/2024","ANTONIO FERNANDO DE ARAUJO SA","7M23","24",,"24","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"TAXONOMIA ZOOLÓGICA","BIOL0152","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","4 - 07:00h-09:50h SALA DE AULA - DBI BLOCO A - 005","2023","2","13/11/2023","12/04/2024","ANA PAULA SIQUEIRA DORNELLAS","4M123","13","15","14","REGULAR","15/04/2024","CONSOLIDADA","PRESENCIAL"
"TEMAS DE HISTÓRIA ECONÔMICA","HIST0005","TURMA 3","NÃO INFORMADO","Brejo Grande/SE","2023","2","02/10/2023","28/02/2024","CARLOS DE OLIVEIRA MALAQUIAS","7M45","1",,"1","REGULAR","26/02/2024","CONSOLIDADA","A DISTÂNCIA"
"TEMAS DE HISTÓRIA ECONÔMICA","HIST0005","TURMA 4","NÃO INFORMADO","Estância/SE","2023","2","02/10/2023","28/02/2024","CARLOS DE OLIVEIRA MALAQUIAS","7M45","19",,"18","REGULAR","26/02/2024","CONSOLIDADA","A DISTÂNCIA"
"TEMAS DE HISTÓRIA ECONÔMICA","HIST0005","TURMA 5","NÃO INFORMADO","Japaratuba/SE","2023","2","02/10/2023","28/02/2024","CARLOS DE OLIVEIRA MALAQUIAS","7M45","17",,"17","REGULAR","26/02/2024","CONSOLIDADA","A DISTÂNCIA"
"TEMAS DE HISTÓRIA ECONÔMICA","HIST0005","TURMA 14","NÃO INFORMADO","Nossa Senhora da Glória/SE","2023","2","02/10/2023","28/02/2024","CARLOS DE OLIVEIRA MALAQUIAS","7M45","22",,"22","REGULAR","26/02/2024","CONSOLIDADA","A DISTÂNCIA"
"TEMAS DE HISTÓRIA ECONÔMICA","HIST0005","TURMA 11","NÃO INFORMADO","Nossa Senhora das Dores/SE","2023","2","02/10/2023","28/02/2024","CARLOS DE OLIVEIRA MALAQUIAS","7M45","22",,"22","REGULAR","26/02/2024","CONSOLIDADA","A DISTÂNCIA"
"TEMAS DE HISTÓRIA ECONÔMICA","HIST0005","TURMA 8","NÃO INFORMADO","Porto da Folha/SE","2023","2","02/10/2023","28/02/2024","CARLOS DE OLIVEIRA MALAQUIAS","7M45","23",,"23","REGULAR","26/02/2024","CONSOLIDADA","A DISTÂNCIA"
"INTRODUCAO A ADMINISTRACAO","ADM0002","TURMA 02","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 17:00h-18:50h SALA DE AULA - DID 6 - 103<br/>5 - 17:00h-18:50h SALA DE AULA - DID 6 - 103","2023","2","13/11/2023","12/04/2024","DEBORA ELEONORA PEREIRA DA SILVA","35T56","87","60","60","REGULAR","15/04/2024","CONSOLIDADA","PRESENCIAL"
"GESTÃO E CONTROLE DA QUALIDADE","ADM0203","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 18:50h-20:30h SALA DE AULA - DID 1 - 108<br/>5 - 18:50h-20:30h SALA DE AULA - DID 1 - 102","2023","2","13/11/2023","12/04/2024","DEBORA ELEONORA PEREIRA DA SILVA","35N12","29","60","26","REGULAR","15/04/2024","CONSOLIDADA","PRESENCIAL"
"INTRODUCAO A ADMINISTRACAO","ADM0002","TURMA 03","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 20:40h-22:20h SALA DE DESENHO              DID 4 - 016<br/>5 - 20:40h-22:20h SALA DE DESENHO              DID 4 - 016","2023","2","13/11/2023","12/04/2024","DEBORA ELEONORA PEREIRA DA SILVA","35N34","45","60","44","REGULAR","15/04/2024","CONSOLIDADA","PRESENCIAL"
"HISTÓRIA ANTIGA I","HIST0006","TURMA 4","NÃO INFORMADO","Estância/SE","2023","2","02/10/2023","28/02/2024","BRUNO GONCALVES ALVARO","7T12","14",,"14","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"HISTÓRIA ANTIGA I","HIST0006","TURMA 5","NÃO INFORMADO","Japaratuba/SE","2023","2","02/10/2023","28/02/2024","BRUNO GONCALVES ALVARO","7T12","11",,"11","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"HISTÓRIA ANTIGA I","HIST0006","TURMA 12","NÃO INFORMADO","Lagarto/SE","2023","2","02/10/2023","28/02/2024","BRUNO GONCALVES ALVARO","7T12","1",,"1","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"HISTÓRIA ANTIGA I","HIST0006","TURMA 14","NÃO INFORMADO","Nossa Senhora da Glória/SE","2023","2","02/10/2023","28/02/2024","BRUNO GONCALVES ALVARO","7T12","13",,"13","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"HISTÓRIA ANTIGA I","HIST0006","TURMA 11","NÃO INFORMADO","Nossa Senhora das Dores/SE","2023","2","02/10/2023","28/02/2024","BRUNO GONCALVES ALVARO","7T12","15",,"15","REGULAR","07/02/2024","CONSOLIDADA","A DISTÂNCIA"
"HISTÓRIA ANTIGA I","HIST0006","TURMA 8","NÃO INFORMADO","Porto da Folha/SE","2023","2","02/10/2023","28/02/2024","BRUNO GONCALVES ALVARO","7T12","15",,"15","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ESTAGIO SUPERVISIONADO EM ESPANHOL I","LETR0001","TURMA 3","NÃO INFORMADO","Brejo Grande/SE","2023","2","02/10/2023","28/02/2024","VALERIA JANE SIQUEIRA LOUREIRO","6M23","6",,"6","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ESTAGIO SUPERVISIONADO EM ESPANHOL I","LETR0001","TURMA 4","NÃO INFORMADO","Estância/SE","2023","2","02/10/2023","28/02/2024","VALERIA JANE SIQUEIRA LOUREIRO","6M23","2",,"2","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ESTAGIO SUPERVISIONADO EM ESPANHOL I","LETR0001","TURMA 5","NÃO INFORMADO","Japaratuba/SE","2023","2","02/10/2023","28/02/2024","VALERIA JANE SIQUEIRA LOUREIRO","6M23","2",,"2","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ESTAGIO SUPERVISIONADO EM ESPANHOL I","LETR0001","TURMA 12","NÃO INFORMADO","Lagarto/SE","2023","2","02/10/2023","28/02/2024","VALERIA JANE SIQUEIRA LOUREIRO","6M23","6",,"6","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ESTAGIO SUPERVISIONADO EM ESPANHOL I","LETR0001","TURMA 14","NÃO INFORMADO","Nossa Senhora da Glória/SE","2023","2","02/10/2023","28/02/2024","VALERIA JANE SIQUEIRA LOUREIRO","6M23","6",,"6","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ESTAGIO SUPERVISIONADO EM ESPANHOL I","LETR0001","TURMA 11","NÃO INFORMADO","Nossa Senhora das Dores/SE","2023","2","02/10/2023","28/02/2024","VALERIA JANE SIQUEIRA LOUREIRO","6M23","11",,"11","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ESTAGIO SUPERVISIONADO EM ESPANHOL I","LETR0001","TURMA 8","NÃO INFORMADO","Porto da Folha/SE","2023","2","02/10/2023","28/02/2024","VALERIA JANE SIQUEIRA LOUREIRO","6M23","2",,"2","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ESTAGIO SUPERVISIONADO EM ESPANHOL I","LETR0001","TURMA 9","NÃO INFORMADO","São Domingos/SE","2023","2","02/10/2023","28/02/2024","VALERIA JANE SIQUEIRA LOUREIRO","6M23","2",,"2","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"HISTÓRIA ECONÔMICA GERAL E DO BRASIL","HIST0141","TURMA 1","NÃO INFORMADO","Arauá/SE","2023","2","02/10/2023","28/02/2024","MARIA NELE DOS SANTOS RIBEIRO","1T12","20",,"20","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"HISTÓRIA ECONÔMICA GERAL E DO BRASIL","HIST0141","TURMA 3","NÃO INFORMADO","Brejo Grande/SE","2023","2","02/10/2023","28/02/2024","MARIA NELE DOS SANTOS RIBEIRO","1T12","16",,"17","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"HISTÓRIA ECONÔMICA GERAL E DO BRASIL","HIST0141","TURMA 4","NÃO INFORMADO","Estância/SE","2023","2","02/10/2023","28/02/2024","MARIA NELE DOS SANTOS RIBEIRO","1T12","12",,"11","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"HISTÓRIA ECONÔMICA GERAL E DO BRASIL","HIST0141","TURMA 5","NÃO INFORMADO","Japaratuba/SE","2023","2","02/10/2023","28/02/2024","MARIA NELE DOS SANTOS RIBEIRO","1T12","10",,"10","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"HISTÓRIA ECONÔMICA GERAL E DO BRASIL","HIST0141","TURMA 12","NÃO INFORMADO","Lagarto/SE","2023","2","02/10/2023","28/02/2024","MARIA NELE DOS SANTOS RIBEIRO","1T12","25",,"25","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"HISTÓRIA ECONÔMICA GERAL E DO BRASIL","HIST0141","TURMA 14","NÃO INFORMADO","Nossa Senhora da Glória/SE","2023","2","02/10/2023","28/02/2024","MARIA NELE DOS SANTOS RIBEIRO","1T12","13",,"13","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"HISTÓRIA ECONÔMICA GERAL E DO BRASIL","HIST0141","TURMA 11","NÃO INFORMADO","Nossa Senhora das Dores/SE","2023","2","02/10/2023","28/02/2024","MARIA NELE DOS SANTOS RIBEIRO","1T12","27",,"27","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"HISTÓRIA ECONÔMICA GERAL E DO BRASIL","HIST0141","TURMA 8","NÃO INFORMADO","Porto da Folha/SE","2023","2","02/10/2023","28/02/2024","MARIA NELE DOS SANTOS RIBEIRO","1T12","30",,"30","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"HISTÓRIA ECONÔMICA GERAL E DO BRASIL","HIST0141","TURMA 13","NÃO INFORMADO","Propriá/SE","2023","2","02/10/2023","28/02/2024","MARIA NELE DOS SANTOS RIBEIRO","1T12","1",,"1","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"HISTÓRIA ECONÔMICA GERAL E DO BRASIL","HIST0141","TURMA 15","NÃO INFORMADO","São Cristóvão/SE","2023","2","02/10/2023","28/02/2024","MARIA NELE DOS SANTOS RIBEIRO","1T12","1",,"1","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"HISTÓRIA ECONÔMICA GERAL E DO BRASIL","HIST0141","TURMA 9","NÃO INFORMADO","São Domingos/SE","2023","2","02/10/2023","28/02/2024","MARIA NELE DOS SANTOS RIBEIRO","1T12","1",,"1","REGULAR","28/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ANTROPOLOGIA I","SOCIA0003","TURMA 1","NÃO INFORMADO","Arauá/SE","2023","2","02/10/2023","28/02/2024","ULISSES NEVES RAFAEL","1M23","23",,"23","REGULAR","04/03/2024","CONSOLIDADA","A DISTÂNCIA"
"ANTROPOLOGIA I","SOCIA0003","TURMA 3","NÃO INFORMADO","Brejo Grande/SE","2023","2","02/10/2023","28/02/2024","ULISSES NEVES RAFAEL","1M23","22",,"23","REGULAR","04/03/2024","CONSOLIDADA","A DISTÂNCIA"
"ANTROPOLOGIA I","SOCIA0003","TURMA 4","NÃO INFORMADO","Estância/SE","2023","2","02/10/2023","28/02/2024","ULISSES NEVES RAFAEL","1M23","18",,"18","REGULAR","04/03/2024","CONSOLIDADA","A DISTÂNCIA"
"ANTROPOLOGIA I","SOCIA0003","TURMA 5","NÃO INFORMADO","Japaratuba/SE","2023","2","02/10/2023","28/02/2024","ULISSES NEVES RAFAEL","1M23","21",,"21","REGULAR","04/03/2024","CONSOLIDADA","A DISTÂNCIA"
"ANTROPOLOGIA I","SOCIA0003","TURMA 12","NÃO INFORMADO","Lagarto/SE","2023","2","02/10/2023","28/02/2024","ULISSES NEVES RAFAEL","1M23","22",,"21","REGULAR","04/03/2024","CONSOLIDADA","A DISTÂNCIA"
"ANTROPOLOGIA I","SOCIA0003","TURMA 14","NÃO INFORMADO","Nossa Senhora da Glória/SE","2023","2","02/10/2023","28/02/2024","ULISSES NEVES RAFAEL","1M23","21",,"21","REGULAR","04/03/2024","CONSOLIDADA","A DISTÂNCIA"
"ANTROPOLOGIA I","SOCIA0003","TURMA 11","NÃO INFORMADO","Nossa Senhora das Dores/SE","2023","2","02/10/2023","28/02/2024","ULISSES NEVES RAFAEL","1M23","32",,"32","REGULAR","04/03/2024","CONSOLIDADA","A DISTÂNCIA"
"ANTROPOLOGIA I","SOCIA0003","TURMA 8","NÃO INFORMADO","Porto da Folha/SE","2023","2","02/10/2023","28/02/2024","ULISSES NEVES RAFAEL","1M23","42",,"42","REGULAR","04/03/2024","CONSOLIDADA","A DISTÂNCIA"
"ANTROPOLOGIA I","SOCIA0003","TURMA 7","NÃO INFORMADO","Poço Verde/SE","2023","2","02/10/2023","28/02/2024","ULISSES NEVES RAFAEL","1M23","6",,"6","REGULAR","04/03/2024","CONSOLIDADA","A DISTÂNCIA"
"ANTROPOLOGIA I","SOCIA0003","TURMA 9","NÃO INFORMADO","São Domingos/SE","2023","2","02/10/2023","28/02/2024","ULISSES NEVES RAFAEL","1M23","4",,"5","REGULAR","04/03/2024","CONSOLIDADA","A DISTÂNCIA"
"ESTÁGIO SUPERVISIONADO DE LÍNGUA PORTUGUESA II","LETRV0091","TURMA 1","NÃO INFORMADO","Arauá/SE","2023","2","02/10/2023","28/02/2024","LAURA CAMILA BRAZ DE ALMEIDA","6M23","8",,"8","REGULAR","29/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ESTÁGIO SUPERVISIONADO DE LÍNGUA PORTUGUESA II","LETRV0091","TURMA 3","NÃO INFORMADO","Brejo Grande/SE","2023","2","02/10/2023","28/02/2024","LAURA CAMILA BRAZ DE ALMEIDA","6M23","8",,"8","REGULAR","29/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ESTÁGIO SUPERVISIONADO DE LÍNGUA PORTUGUESA II","LETRV0091","TURMA 4","NÃO INFORMADO","Estância/SE","2023","2","02/10/2023","28/02/2024","LAURA CAMILA BRAZ DE ALMEIDA","6M23","8",,"9","REGULAR","29/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ESTÁGIO SUPERVISIONADO DE LÍNGUA PORTUGUESA II","LETRV0091","TURMA 5","NÃO INFORMADO","Japaratuba/SE","2023","2","02/10/2023","28/02/2024","LAURA CAMILA BRAZ DE ALMEIDA","6M23","10",,"10","REGULAR","29/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ESTÁGIO SUPERVISIONADO DE LÍNGUA PORTUGUESA II","LETRV0091","TURMA 12","NÃO INFORMADO","Lagarto/SE","2023","2","02/10/2023","28/02/2024","LAURA CAMILA BRAZ DE ALMEIDA","6M23","9",,"9","REGULAR","29/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ESTÁGIO SUPERVISIONADO DE LÍNGUA PORTUGUESA II","LETRV0091","TURMA 14","NÃO INFORMADO","Nossa Senhora da Glória/SE","2023","2","02/10/2023","28/02/2024","LAURA CAMILA BRAZ DE ALMEIDA","6M23","14",,"14","REGULAR","29/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ESTÁGIO SUPERVISIONADO DE LÍNGUA PORTUGUESA II","LETRV0091","TURMA 11","NÃO INFORMADO","Nossa Senhora das Dores/SE","2023","2","02/10/2023","28/02/2024","LAURA CAMILA BRAZ DE ALMEIDA","6M23","6",,"6","REGULAR","29/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ESTÁGIO SUPERVISIONADO DE LÍNGUA PORTUGUESA II","LETRV0091","TURMA 8","NÃO INFORMADO","Porto da Folha/SE","2023","2","02/10/2023","28/02/2024","LAURA CAMILA BRAZ DE ALMEIDA","6M23","13",,"13","REGULAR","29/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ESTÁGIO SUPERVISIONADO DE LÍNGUA PORTUGUESA II","LETRV0091","TURMA 7","NÃO INFORMADO","Poço Verde/SE","2023","2","02/10/2023","28/02/2024","LAURA CAMILA BRAZ DE ALMEIDA","6M23","12",,"12","REGULAR","29/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ESTÁGIO SUPERVISIONADO DE LÍNGUA PORTUGUESA II","LETRV0091","TURMA 9","NÃO INFORMADO","São Domingos/SE","2023","2","02/10/2023","28/02/2024","LAURA CAMILA BRAZ DE ALMEIDA","6M23","9",,"9","REGULAR","29/02/2024","CONSOLIDADA","A DISTÂNCIA"
"ADMINISTRAÇÃO FINANCEIRA I","ADM0020","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 17:00h-18:50h SALA DE AULA - DID 5 - 004<br/>5 - 17:00h-18:50h SALA DE AULA - DID 4 - 102","2023","2","13/11/2023","12/04/2024","EDUARDO ALBERTO DA SILVA FARIAS","35T56","46","60","49","REGULAR","14/04/2024","CONSOLIDADA","PRESENCIAL"
"MATEMÁTICA PARA O ENSINO FUNDAMENTAL","MAT0060","TURMA 1","NÃO INFORMADO","Arauá/SE","2023","2","02/10/2023","28/02/2024","SAMUEL DA CRUZ CANEVARI","7T34","6",,"6","REGULAR","03/03/2024","CONSOLIDADA","A DISTÂNCIA"
"MATEMÁTICA PARA O ENSINO FUNDAMENTAL","MAT0060","TURMA 3","NÃO INFORMADO","Brejo Grande/SE","2023","2","02/10/2023","28/02/2024","SAMUEL DA CRUZ CANEVARI","7T34","4",,"4","REGULAR","03/03/2024","CONSOLIDADA","A DISTÂNCIA"
"MATEMÁTICA PARA O ENSINO FUNDAMENTAL","MAT0060","TURMA 5","NÃO INFORMADO","Japaratuba/SE","2023","2","02/10/2023","28/02/2024","SAMUEL DA CRUZ CANEVARI","7T34","3",,"3","REGULAR","03/03/2024","CONSOLIDADA","A DISTÂNCIA"
"MATEMÁTICA PARA O ENSINO FUNDAMENTAL","MAT0060","TURMA 8","NÃO INFORMADO","Porto da Folha/SE","2023","2","02/10/2023","28/02/2024","SAMUEL DA CRUZ CANEVARI","7T34","6",,"7","REGULAR","03/03/2024","CONSOLIDADA","A DISTÂNCIA"
"MATEMÁTICA PARA O ENSINO FUNDAMENTAL","MAT0060","TURMA 7","NÃO INFORMADO","Poço Verde/SE","2023","2","02/10/2023","28/02/2024","SAMUEL DA CRUZ CANEVARI","7T34","4",,"4","REGULAR","03/03/2024","CONSOLIDADA","A DISTÂNCIA"
"MATEMÁTICA PARA O ENSINO FUNDAMENTAL","MAT0060","TURMA 9","NÃO INFORMADO","São Domingos/SE","2023","2","02/10/2023","28/02/2024","SAMUEL DA CRUZ CANEVARI","7T34","4",,"4","REGULAR","03/03/2024","CONSOLIDADA","A DISTÂNCIA"
